,SMILES
183,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(O)c([N+](=O)[O-])c2)c2cccnc2)cc1
184,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(CO)cc2)c2cccnc2)cc1
185,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cncnc2O)c2cccnc2)cc1
186,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cncc(O)c2)c2cccnc2)cc1
187,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cc(O)no2)c2cccnc2)cc1
188,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccnc(O)n2)c2cccnc2)cc1
189,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ocnc2CO)c2cccnc2)cc1
190,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(O)c(CO)c2)c2cccnc2)cc1
191,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2cnc(O)nc2)c2cccnc2)cc1
192,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccnc(O)c2)c2cccnc2)cc1
193,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(O)cn2)c2cccnc2)cc1
194,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(CO)cc2)c2cccnc2)cc1
195,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(OCCO)cc2)c2cccnc2)cc1
196,Cn1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2cnc[nH]2)c2ccc(C(C)(C)C)cc2)cc1O
197,CC(C)(C)c1ccc(N(C(=O)c2cnc[nH]2)C(C(=O)NCCc2ccc(OCCO)cc2)c2cccnc2)cc1
